customer_id,customer_name,city,orders,total_spend,last_order_days,first_order_date,last_order_date
C0001,Aditya Singh,Bengaluru,5,14773,69,2026-02-23,2026-07-11
C0002,Tanvi Bhat,Pune,7,27964,29,2025-08-26,2026-08-20
C0003,Riya Kumar,Chennai,8,32661,9,2025-10-15,2026-09-09
C0004,Pooja Bhat,Kochi,2,7266,37,2025-11-03,2026-08-12
C0005,Akash Shah,Bengaluru,3,26560,81,2025-06-16,2026-06-29
C0006,Pooja Mehta,Mumbai,3,13669,21,2025-10-19,2026-08-28
C0007,Aarav Rao,Mumbai,1,5198,25,2026-03-11,2026-08-24
C0008,Kavya Patel,Chennai,3,5053,21,2025-11-15,2026-08-28
C0009,Aditi Joshi,Mumbai,4,26937,125,2025-06-09,2026-05-16
C0010,Ananya Kumar,Pune,1,5218,25,2025-10-27,2026-08-24
C0011,Aarav Mehta,Pune,2,10947,24,2026-03-26,2026-08-25
C0012,Aditya Singh,Kochi,2,21924,69,2025-09-12,2026-07-11
C0013,Aryan Kumar,Ahmedabad,3,14685,128,2025-06-07,2026-05-13
C0014,Pooja Singh,Jaipur,1,2447,23,2026-02-18,2026-08-26
C0015,Neha Rao,Pune,3,6982,20,2026-04-06,2026-08-29
C0016,Akash Nair,Bengaluru,1,2685,19,2026-04-10,2026-08-30
C0017,Aarav Patel,Bengaluru,4,25827,3,2025-11-26,2026-09-15
C0018,Anika Reddy,Ahmedabad,5,33711,19,2025-12-01,2026-08-30
C0019,Anika Shah,Ahmedabad,3,9090,73,2025-07-05,2026-07-07
C0020,Pooja Nair,Kolkata,2,15706,11,2026-07-08,2026-09-07
C0021,Neha Iyer,Pune,2,14147,85,2026-02-18,2026-06-25
C0022,Sneha Verma,Delhi,3,12579,20,2026-06-22,2026-08-29
C0023,Riya Shah,Jaipur,8,15483,3,2026-04-17,2026-09-15
C0024,Aditi Gupta,Ahmedabad,3,5960,15,2026-01-22,2026-09-03
C0025,Aarav Gupta,Chennai,5,15347,115,2025-05-05,2026-05-26
C0026,Sneha Rao,Ahmedabad,6,22133,2,2025-10-25,2026-09-16
C0027,Sneha Sharma,Pune,17,66246,9,2025-11-12,2026-09-09
C0028,Aditi Sharma,Jaipur,5,17245,20,2026-06-26,2026-08-29
C0029,Anika Gupta,Mumbai,6,14067,135,2025-06-06,2026-05-06
